OrganizationId	Status	Name	Address	City	State	Zip	Country	Phone	Fax	Email	OrgUrl	FacebookUrl	OrgType	OrgSpecies	ServeAreas	AdoptionProcess	MeetPets	Services	AllowCommonApp	MessageOrg
1	Available	RescueGroups.org Demo	P.O. Box 1245	Bowie	MD	20718-1245	United States	(888) 805-5081		myrescue@yahoo.com	http://www.rescuegroups.org	http://www.facebook.com/rescuegroupsorg	Rescue						No	No

12	Available	Cat Rescue of Maryland, Inc.		Baltimore	MD	21228-3915	United States	(410) 747-6595			http://www.catrescueofmd.org	None	Rescue						No	Yes

13	Available	Prince Georges Feral Friends, SPCA, Inc.	P.O. Box 1036	Bowie	MD	20718	United States	(301) 262-6452			http://www.pgferals.org	https://www.facebook.com/pgferals	Shelter		Prince George's County, Maryland				No	Yes

16	Available	Animal Relief Fund	P.O. Box 184	Hollywood	MD	20636	United States			info@animalrelieffund.org			Rescue				Most Saturdays from 11-2 at the Well Pet Clinic		No	Yes

22	Available	LNF Dog Rescue Adoption Center		New Castle DE	DE	19720-1096	United States	(302) 613-0394		animalrescue@comcast.net	www.lnfdogs.org	Marleen Oetzel	Rescue		We adopt in the states of NJ PA MD & DE with a 2 hour one way radius from our location in New Castle DE 19720			adoption of dogs	No	Yes

23	Available	The Feline Foundation of Greater Washington, Inc.	P.O. Box 3071	Merrifield	VA	22116-3071	United States	(703) 920-8665		info@ffgw.org	http://www.ffgw.org	https://www.facebook.com/felinefoundationFFGW	Rescue		The greater Washinton, D.C. community: Arlngton, Fairfax, Loudoun, Montgomery Prince Georges and Prince William Counties, including the Cities of Alexandria, Falls Church, Washington and others. 		Approved applicants can visit cats and kittens in their foster homes by appointment 365 days a year. Everyone can meet iur kitties at monthly adoption fairs and special events like the National Capital Cat Show.	rescue, home-based foster care, adoptions, placement assistance to pet owners	No	Yes

27	Available	Olive Branch Animal Rescue & Refuge, Inc.	P.O. Box 183	Sistersville	WV	26175	United States	(304) 652-1010		info@olivebranchwv.org			Rescue						No	Yes

30	Available	Castaway Critters, the James A. Hueholt Memorial Foundation	P.O. Box 1421	Harrisburg	PA	17105-1421	United States	(717) 831-5010		info@castawaycritters.org		https://www.facebook.com/Castaway-Critters-The-James-A-Hueholt-Memorial-Foundation-for-Animals-97502	Rescue						No	Yes

