OrganizationId,Status,Name,Address,City,State,Zip,Country,Phone,Fax,Email,OrgUrl,FacebookUrl,OrgType,OrgSpecies,ServeAreas,AdoptionProcess,MeetPets,Services,AllowC/Users/jessicamalloy/Documents/workspace/PawMatch/data-in/organizations.csvommonApp,MessageOrg
1,Available,"RescueGroups.org Demo","P.O. Box 1245",Bowie,MD,20718-1245,"United States","(888) 805-5081",,myrescue@yahoo.com,http://www.rescuegroups.org,http://www.facebook.com/rescuegroupsorg,Rescue,,,,,,No,"No"
12,Available,"Cat Rescue of Maryland, Inc.",,Baltimore,MD,21228-3915,"United States","(410) 747-6595",,,http://www.catrescueofmd.org,None,Rescue,,,,,,No,"Yes"
13,Available,"Prince Georges Feral Friends, SPCA, Inc.","P.O. Box 1036",Bowie,MD,20718,"United States","(301) 262-6452",,,http://www.pgferals.org,https://www.facebook.com/pgferals,Shelter,,"Prince George's County, Maryland",,,,No,"Yes"
16,Available,"Animal Relief Fund","P.O. Box 184",Hollywood,MD,20636,"United States",,,info@animalrelieffund.org,,,Rescue,,,,"Most Saturdays from 11-2 at the Well Pet Clinic",,No,"Yes"
22,Available,"LNF Dog Rescue Adoption Center",,"New Castle DE",DE,19720-1096,"United States","(302) 613-0394",,animalrescue@comcast.net,www.lnfdogs.org,"Marleen Oetzel",Rescue,,"We adopt in the states of NJ PA MD & DE with a 2 hour one way radius from our location in New Castle DE 19720",,,"adoption of dogs",No,"Yes"
23,Available,"The Feline Foundation of Greater Washington, Inc.","P.O. Box 3071",Merrifield,VA,22116-3071,"United States","(703) 920-8665",,info@ffgw.org,http://www.ffgw.org,https://www.facebook.com/felinefoundationFFGW,Rescue,,"The greater Washinton, D.C. community: Arlngton, Fairfax, Loudoun, Montgomery Prince Georges and Prince William Counties, including the Cities of Alexandria, Falls Church, Washington and others. ",,"Approved applicants can visit cats and kittens in their foster homes by appointment 365 days a year. Everyone can meet iur kitties at monthly adoption fairs and special events like the National Capital Cat Show.","rescue, home-based foster care, adoptions, placement assistance to pet owners",No,"Yes"
27,Available,"Olive Branch Animal Rescue & Refuge, Inc.","P.O. Box 183",Sistersville,WV,26175,"United States","(304) 652-1010",,info@olivebranchwv.org,,,Rescue,,,,,,No,"Yes"
30,Available,"Castaway Critters, the James A. Hueholt Memorial Foundation","P.O. Box 1421",Harrisburg,PA,17105-1421,"United States","(717) 831-5010",,info@castawaycritters.org,,https://www.facebook.com/Castaway-Critters-The-James-A-Hueholt-Memorial-Foundation-for-Animals-97502,Rescue,,,,,,No,"Yes"
41,Available,"Whimsical Animal Rescue, Inc.  of Sussex County Animal Association","P. O. Box 1697",Seaford,DE,19973,"United States",,,DelawareRescue@aol.com,http://www.delawarerescue.com/,https://www.facebook.com/SussexCountyAnimalWhimsicalAnimalRescue,Rescue,,"All of Delaware","adoption application, meet and greet, contract.  ","Adoption events monthly at Barton's Southern States and Concord Pets both in Seaford.","rescue, adoptions and rabies/distemper clinics",No,"Yes"
43,Available,"Paws and Whiskers Animal Rescue Organization","RR 1, Box 150","Paw Paw",WV,25434,"United States","(304) 496-7194",,joyce.myers@frontiernet.net,http://www.pawsandwhiskers.info,,Rescue,,"Northern Virginia, Winchester, VA Frederick county, Front Royal, VA WV panhandle, PA, DC, MD, NJ, all of VA","Adoption form, contract, sterlization form, must spay & neuter, cannot tie dog outside, cannot crate for long hours, cannot give dod/cat away, cannot put companion pet in any shelter, must train, must vet throughout life span of companion pet. ","Potential adopters may visit us at our sanctuary, which we are slowing building. Or at Petsmart on Saturdays.","adoptions, education, ",No,"Yes"
44,Available,"Tampa Bay Beagle Rescue, Inc.","P.O. Box 271772",Tampa,FL,33688-1772,"United States","(813) 446-9663",,info@tampabaybeaglerescue.org,www.tampabaybeaglerescue.org,www.facebook/tampabeaglerescue,Rescue,,,,,,No,"Yes"
50,Available,"Genesis Animal Rescue ","PO Box 1985",Mattoon,IL,61938,"United States","(800) 688-7934",,info@genesisanimalrescue.org,http://www.genesisanimalrescue.org,https://www.facebook.com/GenesisAnimalRescue.org,Rescue,,,,,,No,"Yes"
52,Available,"Animal Rescue Network / Reseau Secours Animal"," P.O. Box 32203, St. Andr?? Station",Montreal,QC,"H2L 4Y5",Canada,"(514) 938-6215",,,http://www.animalrescuenetwork.org/,https://www.facebook.com/rsa.arn,Rescue,,"Montreal area","Complete a adoption form, interview with a volunteer from the adoption team, contrat adoption, fees adoption. For more informations see:. http://www.animalrescuenetwork.org/info/adoption","Pets can be meet at one of our adoption day:. http://www.animalrescuenetwork.org/info/events. or on appointment with a member of the adoption team:. arnadoptions@gmail.com","adoptions, rescue, spay-neuter, shelter",No,"Yes"
54,Available,"St. Louis Boxer Rescue","P.O. Box 190324","St. Louis",MO,63119-6324,"United States","(314) 558-1767",,,,,Rescue,,,,,,No,"Yes"
56,Available,"Pets-4-Pets Cat Rescue, Inc.","P.O. Box 350","New Market",MD,21774,"United States","(240) 405-4564",,pets4pets@gmail.com,http://pets-4-pets.rescuegroups.org,https://www.facebook.com/Pets4PetsCats,Rescue,,,,,,No,"Yes"
65,Available,"Hampshire County Animal Control","142 Twin Oaks Rd","Paw Paw",WV,25434,"United States","(304) 359-0226",,hampshirecountyac@gmail.com,http://hampshirecountyanimalcontrol.petfinder.com,,Shelter,,,,,,No,"Yes"
68,Available,"Changing Fates Equine Rescue of DE, Inc.","31283 Old Cabin Road",Laurel,DE,19956,"United States","(302) 339-5065",,cferdelaware@aol.com,,,Rescue,,,,,,No,"Yes"
