Bradley;Cat;American Shorthair;;Adoption
Katie;Cat;Domestic Short Hair;;Adoption
Asher;Cat;Domestic Short Hair;;Adoption
Tessie;Cat;Torbie;Tabby;Adoption
Rusty / Video;Dog;Labrador Retriever;;Adoption
Nancy;Cat;Domestic Short Hair;;Adoption
Chester;Cat;Domestic Short Hair;Tabby;Adoption
Azurbajan;Cat;Domestic Short Hair;Domestic Short Hair;Adoption
KATIE;Cat;Domestic Short Hair;;Adoption
TOPENGA;Cat;Tuxedo;;Adoption
ADOPTION-Read First;Cat;Domestic Medium Hair;;Adoption
ROMAN (DG);Dog;American Bulldog;;Adoption
Daphne;Cat;Domestic Short Hair;Tabby;Adoption
Elizabeth;Cat;Domestic Long Hair;Tabby;Adoption
FOSTERS NEEDED;Dog;American Eskimo Dog;;Adoption
Britta;Dog;Pointer;Terrier;Adoption
Tawny;Dog;Boxer;Terrier;Adoption
FOSTER A BOXER!;Dog;Boxer;;Adoption
Fellini;Cat;Domestic Short Hair;;Adoption
Fiji;Cat;Domestic Short Hair;;Adoption
Nick;Cat;Domestic Short Hair;;Adoption
FOSTERS NEEDED;Dog;Mastiff;;Adoption
Gilda;Cat;Domestic Long Hair;;Adoption
Pretty Patience;Cat;Calico;Domestic Short Hair;Adoption
Outdoor Cats;Cat;Domestic Short Hair;;Adoption
Erin;Cat;Calico;;Adoption
Kristal;Cat;Tortoiseshell;;Adoption
Taffy;Cat;Domestic Medium Hair;Tabby;Adoption
Alanan;Cat;Domestic Short Hair;;Adoption
St. Nip;Cat;Domestic Short Hair;;Adoption
Jade;Dog;American Pit Bull Terrier;;Adoption
Natasha;Cat;Domestic Short Hair;Tabby;Adoption
Ivy;Cat;Tabby;;Adoption
Camaro;Cat;Domestic Short Hair;Tabby;Adoption
Dusty Rose;Cat;Tortoiseshell;Domestic Short Hair;Adoption
Sarah;Cat;Domestic Short Hair;;Adoption
Mary;Dog;Rat Terrier;;Adoption
Peter;Dog;Rat Terrier;Feist;Adoption
Hope;Cat;Domestic Long Hair;Maine Coon;Adoption
Guinness;Cat;Domestic Short Hair;;Adoption
Sr Jack is Pending!!!!;Dog;Australian Cattle Dog/Blue Heeler;;Adoption
HUNTER -16;Dog;Maltese;;Adoption
Miss Moppet;Cat;Domestic Medium Hair;Maine Coon;Adoption
Nannette;Cat;Domestic Short Hair;Calico;Adoption
Montana;Dog;Rhodesian Ridgeback;Shepherd;Adoption
WI/IL Foster Homes Needed;Dog;Yellow Labrador Retriever;Golden Retriever;Adoption
FOSTERS NEEDED;Dog;Collie;;Adoption
Magic;Cat;Domestic Short Hair;;Adoption
DALTON;Dog;Pit Bull Terrier;;Adoption
Judith;Dog;Pit Bull Terrier;;Adoption
Foster Homes Needed;Dog;Pit Bull Terrier;;Adoption
Foster Homes Needed;Cat;Domestic Short Hair;;Adoption
Sassy;Cat;Domestic Short Hair;Tabby;Adoption
zoe;Dog;Staffordshire Bull Terrier;;Adoption
Apollo;Dog;Australian Cattle Dog/Blue Heeler;;Adoption
Cosmo;Cat;Tabby;;Adoption
Lola   *F** Front Declawed Black Beauty*;Cat;Domestic Short Hair;;Adoption
Fostering;Cat;Domestic Short Hair;;Adoption
Fostering;Dog;Labrador Retriever;Shepherd;Adoption
sedona;Dog;Rhodesian Ridgeback;Chow Chow;Adoption
Max;Cat;Domestic Short Hair;;Adoption
Tabby;Cat;Tabby;;Adoption
Mouse Patrol;Cat;Domestic Short Hair;;Adoption
Biggs - LOST;Dog;Siberian Husky;;Adoption
Sunshine;Cat;Domestic Short Hair;;Adoption
Simon;Cat;Domestic Short Hair;Domestic Short Hair;Adoption
Gyro;Dog;Poodle (Miniature);Schnauzer;Adoption
